date,aaii_observed,aaii_pct,aaii_score,aaii_source_date,aaii_spread,breadth_pct,breadth_raw,breadth_score,calculation_quality,concentration_raw,core_quality,credit_pct,credit_score,decision_state,decision_trend_quality,decision_trend_score,drawdown_52w,drawdown_pct,drawdown_score,fragility,fragility_quality,hy_oas,hy_oas_source_date,put_call,put_call_observed,put_call_pct,put_call_score,put_call_source_date,qqq,qqq_ma20,qqq_ma200,qqq_ma200_slope,qqq_ma20_slope,qqq_ma50,qqq_ma50_slope,qqq_reclaim20_5d,qqq_reclaim50_5d,qqq_relative_63d,qqq_source_date,qqq_trend_score,qqq_vol20,research_exposure,rsp,smh,smh_ma20,smh_ma200,smh_ma200_slope,smh_ma20_slope,smh_ma50,smh_ma50_slope,smh_reclaim20_5d,smh_reclaim50_5d,smh_relative_63d,smh_source_date,smh_trend_score,smh_vol20,soxx,soxx_ma20,soxx_ma200,soxx_ma200_slope,soxx_ma20_slope,soxx_ma50,soxx_ma50_slope,soxx_reclaim20_5d,soxx_reclaim50_5d,soxx_relative_63d,soxx_source_date,soxx_trend_score,soxx_vol20,sp500,spy,stress,stress_quality,stretch_200d,term_pct,term_ratio,term_score,term_source_date,umsi,umsi_core,umsi_live,vix,vix3m,vix3m_source_date,vix_pct,vix_score,vix_source_date,stress_live,stress_core,stress_core_quality,fragility_live,fragility_core,fragility_core_quality
2007-12-04,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,43.48722839355469,,,,,,,False,False,,2007-12-04,,,70,35.02227783203125,13.654617309570312,,,,,,,False,False,,2007-12-04,,,16.13857650756836,,,,,,,False,False,,2007-12-04,,,1462.7900390625,103.69788360595705,,0.0,,,0.9651115618661258,,2007-12-04,,,,23.79,24.65,2007-12-04,,,2007-12-04,,,0.0,,,0.0
2007-12-05,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,44.26826095581055,,,,,,,False,False,,2007-12-05,,,70,35.52186584472656,14.040987014770508,,,,,,,False,False,,2007-12-05,,,16.59834098815918,,,,,,,False,False,,2007-12-05,,,1485.010009765625,105.43370056152344,,0.0,,,0.9657093870552937,,2007-12-05,,,,22.53,23.33,2007-12-05,,,2007-12-05,,,0.0,,,0.0
2007-12-06,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,44.903316497802734,,,,,,,False,False,,2007-12-06,,,70,36.05818557739258,14.24053955078125,,,,,,,False,False,,2007-12-06,,,16.879159927368164,,,,,,,False,False,,2007-12-06,,,1507.3399658203125,106.9428253173828,,0.0,,,0.9484162895927601,,2007-12-06,,,,20.96,22.1,2007-12-06,,,2007-12-06,,,0.0,,,0.0
2007-12-07,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,44.91191482543945,,,,,,,False,False,,2007-12-07,,,70,36.09492111206055,14.189590454101562,,,,,,,False,False,,2007-12-07,,,16.854373931884766,,,,,,,False,False,,2007-12-07,,,1504.6600341796875,106.92160034179688,,0.0,,,0.9400360685302075,,2007-12-07,,,,20.85,22.18,2007-12-07,,,2007-12-07,,,0.0,,,0.0
2007-12-10,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,45.09214019775391,,,,,,,False,False,,2007-12-10,,,70,36.440223693847656,14.30423069000244,,,,,,,False,False,,2007-12-10,,,17.00028419494629,,,,,,,False,False,,2007-12-10,,,1515.9599609375,107.75057220458984,,0.0,,,0.945736434108527,,2007-12-10,,,,20.74,21.93,2007-12-10,,,2007-12-10,,,0.0,,,0.0
2007-12-11,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,44.04507827758789,,,,,,,False,False,,2007-12-11,,,70,35.301456451416016,14.03249454498291,,,,,,,False,False,,2007-12-11,,,16.66440200805664,,,,,,,False,False,,2007-12-11,,,1477.6500244140625,104.7960968017578,,0.0,,,0.9780265339966832,,2007-12-11,,,,23.59,24.12,2007-12-11,,,2007-12-11,,,0.0,,,0.0
2007-12-12,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,44.43987655639648,,,,,,,False,False,,2007-12-12,,,70,35.536563873291016,14.232049942016602,,,,,,,False,False,,2007-12-12,,,16.870893478393555,,,,,,,False,False,,2007-12-12,,,1486.5899658203125,105.8305206298828,,0.0,,,0.9647917561185058,,2007-12-12,,,,22.47,23.29,2007-12-12,,,2007-12-12,,,0.0,,,0.0
2007-12-13,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,44.19957733154297,,,,,,,False,False,,2007-12-13,,,70,35.492469787597656,14.083447456359863,,,,,,,False,False,,2007-12-13,,,16.713970184326172,,,,,,,False,False,,2007-12-13,,,1488.4100341796875,105.61084747314452,,0.0,,,0.9591836734693877,,2007-12-13,,,,22.56,23.52,2007-12-13,,,2007-12-13,,,0.0,,,0.0
2007-12-14,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,43.744720458984375,,,,,,,False,False,,2007-12-14,,,70,34.95616149902344,13.871153831481934,,,,,,,False,False,,2007-12-14,,,16.537761688232422,,,,,,,False,False,,2007-12-14,,,1467.949951171875,104.27172088623048,,0.0,,,0.9611730689797604,,2007-12-14,,,,23.27,24.21,2007-12-14,,,2007-12-14,,,0.0,,,0.0
2007-12-17,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,42.68047332763672,,,,,,,False,False,,2007-12-17,,,70,34.471282958984375,13.654617309570312,,,,,,,False,False,,2007-12-17,,,16.171613693237305,,,,,,,False,False,,2007-12-17,,,1445.9000244140625,102.7838897705078,,0.0,,,0.9604386995691343,,2007-12-17,,,,24.52,25.53,2007-12-17,,,2007-12-17,,,0.0,,,0.0
2007-12-18,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,42.81781005859375,,,,,,,False,False,,2007-12-18,,,70,34.63288497924805,13.714056968688965,,,,,,,False,False,,2007-12-18,,,16.245943069458008,,,,,,,False,False,,2007-12-18,,,1454.97998046875,103.35779571533205,,0.0,,,0.9177138224564247,,2007-12-18,,,,22.64,24.67,2007-12-18,,,2007-12-18,,,0.0,,,0.0
2007-12-19,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,42.809226989746094,,,,,,,False,False,,2007-12-19,,,70,34.63288497924805,13.739532470703123,,,,,,,False,False,,2007-12-19,,,16.28449058532715,,,,,,,False,False,,2007-12-19,,,1453.0,103.35779571533205,,0.0,,,0.9105417891642168,,2007-12-19,,,,21.68,23.81,2007-12-19,,,2007-12-19,,,0.0,,,0.0
2007-12-20,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,43.68462753295898,,,,,,,False,False,,2007-12-20,,,70,34.772483825683594,13.934842109680176,,,,,,,False,False,,2007-12-20,,,16.504732131958008,,,,,,,False,False,,2007-12-20,,,1460.1199951171875,104.00959014892578,,0.0,,,0.8998688237866199,,2007-12-20,,,,20.58,22.87,2007-12-20,,,2007-12-20,,,0.0,,,0.0
2007-12-21,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,44.54633331298828,,,,,,,False,False,,2007-12-21,,,70,35.308074951171875,14.062214851379396,,,,,,,False,False,,2007-12-21,,,16.716726303100586,,,,,,,False,False,,2007-12-21,,,1484.4599609375,105.50895690917967,,0.0,,,0.8590697674418604,,2007-12-21,,,,18.47,21.5,2007-12-21,,,2007-12-21,,,0.0,,,0.0
2007-12-24,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,44.881385803222656,,,,,,,False,False,,2007-12-24,,,70,35.64006042480469,14.176854133605955,,,,,,,False,False,,2007-12-24,,,16.890161514282227,,,,,,,False,False,,2007-12-24,,,1496.449951171875,106.29241180419922,,0.0,,,0.8798486281929991,,2007-12-24,,,,18.6,21.14,2007-12-24,,,2007-12-24,,,0.0,,,0.0
2007-12-26,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,45.104759216308594,,,,,,,False,False,,2007-12-26,,,70,35.57366180419922,14.155625343322754,,,,,,,False,False,,2007-12-26,,,16.920452117919922,,,,,,,False,False,,2007-12-26,,,1497.6600341796875,106.52039337158205,,0.0,,,0.8915432393693263,,2007-12-26,,,,18.66,20.93,2007-12-26,,,2007-12-26,,,0.0,,,0.0
2007-12-27,,,,,,,,,0.0,,0.0,,,HOLD_NO_CHASE,0.0,,,,,,0.0,,,,,,,,44.56351852416992,,,,,,,False,False,,2007-12-27,,,70,35.07939147949219,13.900874137878418,,,,,,,False,False,,2007-12-27,,,16.57175636291504,,,,,,,False,False,,2007-12-27,,,1476.27001953125,105.18128967285156,,0.0,,,0.9188208616780046,,2007-12-27,,,,20.26,22.05,2007-12-27,,,2007-12-27,,,0.0,,,0.0
